TV,Radio,Jornal
112.4,1.6,77.0
285.2,31.8,10.1
219.6,15.7,19.4
179.6,25.4,107.8
46.8,45.4,72.8
46.8,12.5,1.1
17.4,20.5,12.2
259.9,37.8,79.6
180.3,11.4,0.6
212.4,3.8,19.3
6.2,14.5,65.8
291.0,8.1,83.0
249.7,46.5,78.2
63.7,40.4,26.9
54.5,31.7,85.5
55.0,43.6,28.5
91.3,40.2,39.0
157.4,9.3,89.6
129.6,44.6,78.0
87.4,27.0,101.9
183.6,40.4,78.9
41.8,44.8,68.2
87.6,15.9,11.2
109.9,5.5,44.1
136.8,11.4,31.8
235.6,21.4,29.3
59.9,40.9,116.8
154.3,43.0,47.2
177.7,0.3,107.0
13.9,25.5,75.7
182.3,20.9,95.4
51.2,11.1,60.3
19.5,6.0,69.2
284.7,16.9,59.1
289.7,47.1,23.4
242.5,16.2,86.7
91.4,25.9,33.7
29.3,35.2,2.9
205.3,18.2,77.5
132.0,48.6,21.3
36.6,48.1,112.9
148.6,12.6,114.5
10.3,24.9,109.8
272.8,15.0,44.4
77.6,14.2,1.9
198.8,1.8,111.4
93.5,30.5,51.4
156.0,25.1,116.0
164.0,2.6,115.6
55.5,13.9,102.4
290.9,45.4,35.3
232.5,12.0,46.2
281.8,7.2,102.1
268.4,24.5,38.0
179.4,49.3,20.3
276.6,12.1,66.8
26.5,33.6,112.3
58.8,38.1,83.5
13.6,11.9,68.4
97.6,36.4,11.7
116.6,18.4,73.8
81.4,31.6,118.8
248.6,31.7,16.8
107.0,26.8,62.2
84.3,4.5,105.3
162.8,41.8,88.9
42.3,16.0,83.6
240.7,9.3,84.3
22.4,2.0,43.1
296.1,29.5,35.2
231.7,33.9,97.1
59.6,0.8,97.2
1.7,25.6,104.0
244.6,11.3,109.6
212.1,32.3,61.4
218.7,8.7,60.2
231.4,34.5,95.8
22.2,19.3,78.0
107.5,46.8,84.2
34.8,6.9,95.5
258.9,17.1,106.8
187.0,5.7,40.6
99.3,46.2,45.1
19.1,43.9,11.3
93.3,12.9,69.4
97.6,33.0,4.3
218.9,40.9,55.9
191.3,27.8,65.1
266.2,26.5,34.4
141.7,12.1,70.9
35.9,4.7,3.7
214.0,44.9,4.5
228.2,45.0,98.7
168.4,31.7,43.2
231.3,17.0,15.2
148.1,17.5,62.7
156.8,36.3,92.4
128.3,44.9,25.9
7.6,44.4,74.7
32.4,39.0,10.2
