TV,Radio,Jornal,Previsao_Vendas
112.4,1.6,77.0,12.517500000000002
285.2,31.8,10.1,20.394999999999968
219.6,15.7,19.4,19.96950000000001
179.6,25.4,107.8,18.137499999999996
46.8,45.4,72.8,11.479500000000005
46.8,12.5,1.1,9.408999999999995
17.4,20.5,12.2,6.150000000000002
259.9,37.8,79.6,22.99700000000002
180.3,11.4,0.6,18.006499999999996
212.4,3.8,19.3,17.108499999999996
6.2,14.5,65.8,4.505000000000006
291.0,8.1,83.0,19.20150000000002
249.7,46.5,78.2,24.616999999999965
63.7,40.4,26.9,12.219999999999992
54.5,31.7,85.5,11.193999999999994
55.0,43.6,28.5,11.694499999999998
91.3,40.2,39.0,14.255499999999989
157.4,9.3,89.6,17.04049999999999
129.6,44.6,78.0,15.880500000000008
87.4,27.0,101.9,13.452500000000017
183.6,40.4,78.9,20.11399999999996
41.8,44.8,68.2,11.458999999999994
87.6,15.9,11.2,12.081500000000016
109.9,5.5,44.1,12.54549999999999
136.8,11.4,31.8,12.1975
235.6,21.4,29.3,18.920499999999976
59.9,40.9,116.8,11.797000000000002
154.3,43.0,47.2,19.180499999999967
177.7,0.3,107.0,17.131000000000014
13.9,25.5,75.7,7.072999999999995
182.3,20.9,95.4,19.109
51.2,11.1,60.3,9.932500000000015
19.5,6.0,69.2,7.529500000000005
284.7,16.9,59.1,20.30600000000001
289.7,47.1,23.4,26.12949999999998
242.5,16.2,86.7,20.264000000000006
91.4,25.9,33.7,12.418500000000018
29.3,35.2,2.9,8.451499999999994
205.3,18.2,77.5,19.489999999999974
132.0,48.6,21.3,15.930999999999981
36.6,48.1,112.9,11.506999999999994
148.6,12.6,114.5,13.440999999999988
10.3,24.9,109.8,6.457499999999994
272.8,15.0,44.4,19.682500000000008
77.6,14.2,1.9,11.757000000000014
198.8,1.8,111.4,17.34150000000001
93.5,30.5,51.4,14.283000000000007
156.0,25.1,116.0,16.480500000000003
164.0,2.6,115.6,17.135500000000015
55.5,13.9,102.4,10.169500000000022
290.9,45.4,35.3,25.969499999999968
232.5,12.0,46.2,19.54000000000002
281.8,7.2,102.1,19.14200000000001
268.4,24.5,38.0,18.54899999999999
179.4,49.3,20.3,21.438499999999962
276.6,12.1,66.8,19.928000000000004
26.5,33.6,112.3,9.404
58.8,38.1,83.5,11.413000000000011
13.6,11.9,68.4,5.995500000000002
97.6,36.4,11.7,14.341000000000003
116.6,18.4,73.8,12.76200000000003
81.4,31.6,118.8,13.957000000000015
248.6,31.7,16.8,19.937499999999954
107.0,26.8,62.2,13.944000000000011
84.3,4.5,105.3,12.577499999999988
162.8,41.8,88.9,19.93299999999995
42.3,16.0,83.6,9.422500000000007
240.7,9.3,84.3,18.75350000000002
22.4,2.0,43.1,7.202000000000002
296.1,29.5,35.2,20.171499999999977
231.7,33.9,97.1,20.148499999999995
59.6,0.8,97.2,10.692
1.7,25.6,104.0,4.872500000000008
244.6,11.3,109.6,19.84000000000001
212.1,32.3,61.4,18.97500000000001
218.7,8.7,60.2,18.22100000000003
231.4,34.5,95.8,20.18849999999999
22.2,19.3,78.0,7.837500000000006
107.5,46.8,84.2,15.796
34.8,6.9,95.5,9.680499999999993
258.9,17.1,106.8,20.134000000000007
187.0,5.7,40.6,17.199999999999992
99.3,46.2,45.1,15.013999999999992
19.1,43.9,11.3,8.889499999999993
93.3,12.9,69.4,12.052499999999993
97.6,33.0,4.3,14.06900000000001
218.9,40.9,55.9,21.877499999999976
191.3,27.8,65.1,18.38300000000001
266.2,26.5,34.4,18.955999999999996
141.7,12.1,70.9,11.86199999999999
35.9,4.7,3.7,9.511999999999981
214.0,44.9,4.5,22.62699999999998
228.2,45.0,98.7,23.043499999999973
168.4,31.7,43.2,17.360499999999995
231.3,17.0,15.2,20.34350000000002
148.1,17.5,62.7,13.385999999999994
156.8,36.3,92.4,17.5185
128.3,44.9,25.9,15.77449999999999
7.6,44.4,74.7,6.759999999999994
32.4,39.0,10.2,9.33699999999999
