TV,Radio,Jornal
23.1,3.8,69.2
44.5,0,5.1
170.2,45.9,0
150.5,23.1,11.5
10.0,2.5,5.0
25.0,10.0,15.0
40.0,5.0,25.0
60.0,15.0,20.0
80.0,20.0,30.0
100.0,25.0,10.0
120.0,30.0,15.0
140.0,35.0,20.0
160.0,40.0,25.0
180.0,45.0,30.0
200.0,10.0,40.0
220.0,15.0,50.0
240.0,20.0,60.0
260.0,25.0,70.0
280.0,30.0,80.0
300.0,35.0,90.0
50.0,45.0,10.0
75.0,48.0,20.0
90.0,40.0,15.0
110.0,42.0,12.0
130.0,38.0,18.0
30.0,0.0,0.0
60.0,0.0,0.0
120.0,0.0,0.0
180.0,0.0,0.0
250.0,0.0,0.0
0.0,10.0,0.0
0.0,20.0,0.0
0.0,30.0,0.0
0.0,40.0,0.0
0.0,50.0,0.0
50.0,25.0,50.0
100.0,35.0,75.0
150.0,20.0,100.0
200.0,45.0,50.0
275.0,35.0,25.0
